Participant,Activity,window,mean,standar deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count
2,Prepare Speech,1,620.67368421052629,50.231137775448275,516.0,780.0,628.0,"ModeResult(mode=array([ 640.]), count=array([7]))",0.044617845159574884,0.6659224546155289,660.0,636.0,616.0,579.20000000000005,622.70297050334057,58.0,0.5578947368421052,0.4421052631578947,264.0,2550.00940649,0.031578947368421054,0.14736842105263157,22.76615629262932,3,14,18.585030264492335,12,55.494736842105269,54.989473684210523,66.357894736842113,0.83629441624365486,95
2,Prepare Speech,2,640.88888888888891,26.363461433685679,588.0,760.0,638.0,"ModeResult(mode=array([ 640.]), count=array([9]))",1.1907563983618785,3.5932017589311496,664.0,641.60000000000002,632.0,620.0,641.43090040938932,32.0,0.4,0.6,172.0,702.84144819,0.0,0.13333333333333333,14.327341947225497,0,12,9.649112492909719,16,66.177777777777777,63.644444444444446,63.600000000000009,1.0405310971348705,90
2,Prepare Speech,3,627.87096774193549,27.036902621501429,584.0,708.0,628.0,"ModeResult(mode=array([ 596.]), count=array([7]))",0.41241217863745305,-0.3892528778806166,652.80000000000007,632.79999999999995,619.20000000000005,600.0,628.45281941969131,44.0,0.5268817204301075,0.4731182795698925,124.0,738.939691445,0.0,0.12903225806451613,13.962683185517404,0,12,8.8177300337989664,14,62.666666666666664,61.29032258064516,68.946236559139777,0.90892077354959455,93
2,Prepare Speech,4,621.34736842105258,28.281951998832508,556.0,708.0,624.0,"ModeResult(mode=array([ 636.]), count=array([10]))",0.41290771470015863,0.7070353015701998,640.0,629.59999999999991,612.0,596.0,621.99069209485083,36.0,0.5052631578947369,0.49473684210526314,152.0,808.378051512,0.010526315789473684,0.11578947368421053,14.983679064164193,1,11,9.7684370838025174,15,67.915789473684214,60.336842105263159,62.863157894736837,1.0803750837240458,95
2,Prepare Speech,5,636.12903225806451,38.951645183539235,556.0,732.0,632.0,"ModeResult(mode=array([ 620.]), count=array([7]))",0.3833073737446484,-0.1869585141531518,668.0,636.0,623.20000000000005,608.0,637.32046596989653,48.0,0.3870967741935484,0.6129032258064516,176.0,1533.72230014,0.010752688172043012,0.17204301075268819,18.101164987730584,1,16,11.785095197285161,9,60.817204301075265,56.086021505376344,67.053763440860209,0.90699166132135989,93
2,Prepare Speech,6,645.62637362637361,35.057142788250566,576.0,732.0,640.0,"ModeResult(mode=array([ 612.]), count=array([7]))",0.37619868309495175,-0.3958181463052024,676.0,656.0,628.0,616.0,646.57746448698447,48.0,0.4725274725274725,0.5274725274725275,156.0,1242.65885226,0.0,0.16483516483516483,16.981035173261834,0,15,10.951385277953326,7,59.73626373626373,63.07692307692308,67.516483516483518,0.88476562499999989,91
2,Prepare Speech,7,631.6559139784946,20.983605799211116,604.0,700.0,628.0,"ModeResult(mode=array([ 612.]), count=array([11]))",1.1600361627007976,1.055282520976066,646.40000000000009,632.0,620.0,612.0,632.00435550425129,24.0,0.45161290322580644,0.5483870967741935,96.0,445.09770921,0.0,0.053763440860215055,11.267498468565702,0,5,7.0584917821150182,18,60.516129032258057,63.096774193548384,71.010752688172033,0.85221078134463968,93
2,Prepare Speech,8,616.79166666666663,16.110243032169176,580.0,656.0,616.0,"ModeResult(mode=array([ 608.]), count=array([13]))",0.13578785796979886,-0.18940562627604018,632.0,620.0,612.0,604.0,617.00202592860262,20.0,0.46875,0.53125,76.0,262.271929825,0.0,0.010416666666666666,9.06584103567951,0,1,5.6703143981582906,14,65.125,57.750000000000007,65.0,1.0019230769230769,96
2,Prepare Speech,9,614.16666666666663,17.434799173555806,580.0,668.0,612.0,"ModeResult(mode=array([ 620.]), count=array([17]))",0.5775192966312255,0.5110823033220075,624.0,620.0,608.0,600.0,614.41408403996297,17.0,0.46875,0.53125,88.0,307.171929825,0.0,0.010416666666666666,8.608441389583525,0,1,5.251523984056881,15,63.291666666666664,57.416666666666664,64.375,0.98317152103559868,96
2,Prepare Speech,10,618.97872340425533,18.292527670693005,584.0,668.0,620.0,"ModeResult(mode=array([ 620.]), count=array([11]))",0.5067008895978811,0.17908864192231588,631.20000000000005,620.0,616.0,604.79999999999995,619.24896172359036,18.0,0.5531914893617021,0.44680851063829785,84.0,341.890841813,0.0,0.02127659574468085,8.727766784434507,0,1,5.3835849364049064,8,66.297872340425542,66.723404255319153,52.680851063829792,1.2584814216478191,47
2,Speech,1,599.063829787234,28.999929754367713,512.0,668.0,596.0,"ModeResult(mode=array([ 588.]), count=array([8]))",0.2573990615949778,0.3913982048078952,620.0,604.0,592.0,576.0,599.76534418479571,35.0,0.4574468085106383,0.5425531914893617,156.0,850.038892702,0.031914893617021274,0.1276595744680851,83.51833228673205,3,12,80.273506334094108,21,54.085106382978722,62.59574468085107,57.404255319148938,0.9421793921423276,94
2,Speech,2,620.60869565217388,28.55313754241498,572.0,700.0,618.0,"ModeResult(mode=array([ 588.]), count=array([8]))",0.6541952307678192,-0.0723710230104313,644.0,626.39999999999998,608.0,592.79999999999995,621.26518877417288,41.0,0.43478260869565216,0.5652173913043478,128.0,824.240802676,0.010869565217391304,0.20652173913043478,64.04394095951915,1,19,61.05378997158931,19,61.173913043478265,59.217391304347835,63.043478260869563,0.97034482758620699,92
2,Speech,3,638.17391304347825,34.828339502683413,576.0,724.0,636.0,"ModeResult(mode=array([ 636.]), count=array([6]))",0.30247177176129814,-0.620945118542819,668.0,644.0,628.0,604.0,639.12358470153413,48.0,0.4891304347826087,0.5108695652173914,148.0,1226.34304826,0.010869565217391304,0.30434782608695654,20.56349053193895,1,28,12.862683130542754,13,58.913043478260867,60.521739130434774,61.173913043478265,0.96304193319118681,92
2,Speech,4,648.79120879120876,26.294827337190679,596.0,724.0,648.0,"ModeResult(mode=array([ 652.]), count=array([8]))",0.3198272632566227,-0.017357732467700338,672.0,652.0,640.0,628.0,649.32384104501398,36.0,0.46153846153846156,0.5384615384615384,128.0,699.1003663,0.0,0.2967032967032967,19.12299372192777,0,27,11.306809922223152,21,65.582417582417577,67.120879120879124,62.285714285714292,1.0529287226534931,91
2,Speech,5,634.23655913978496,26.568393320717604,568.0,692.0,636.0,"ModeResult(mode=array([ 636.]), count=array([9]))",-0.17439370869855905,-0.2304173750550107,656.0,640.0,631.20000000000005,608.0,634.79279491273235,32.0,0.5376344086021505,0.46236559139784944,124.0,713.552127162,0.0,0.21505376344086022,17.154033623763752,0,20,10.934415241473493,24,63.483870967741929,62.193548387096769,70.236559139784944,0.90385793018983462,93
2,Speech,6,629.33333333333337,31.4158145687474,568.0,724.0,628.0,"ModeResult(mode=array([ 608.]), count=array([11]))",0.5461903920516071,0.2587034010265872,654.40000000000009,636.0,616.0,605.60000000000002,630.1169715612034,40.0,0.44086021505376344,0.5591397849462365,156.0,997.68115942,0.010752688172043012,0.26881720430107525,20.41738389748773,1,25,13.3655172380158,18,63.182795698924728,58.752688172043008,65.892473118279568,0.95887728459530019,93
2,Speech,7,645.23076923076928,32.058695113421521,572.0,744.0,644.0,"ModeResult(mode=array([ 628.]), count=array([8]))",0.38817621257298907,0.19739005179011393,672.0,648.0,632.0,620.0,646.02670648705032,44.0,0.4725274725274725,0.5274725274725275,172.0,1039.17948718,0.01098901098901099,0.2857142857142857,22.536883349547495,1,26,14.132005528123514,19,60.923076923076927,62.945054945054942,63.384615384615387,0.96116504854368934,91
2,Speech,8,649.86666666666667,38.529411565134964,572.0,744.0,646.0,"ModeResult(mode=array([ 628.]), count=array([8]))",0.16142792103573203,-0.5089374760834722,684.0,657.60000000000002,636.0,620.0,651.00783405424545,51.0,0.45555555555555555,0.5444444444444444,172.0,1501.19550562,0.022222222222222223,0.3111111111111111,23.32766116182458,2,28,14.589652925214583,15,63.466666666666669,64.577777777777769,64.666666666666671,0.98144329896907212,90
2,Speech,9,647.60000000000002,39.123962535055732,572.0,728.0,648.0,"ModeResult(mode=array([ 652.]), count=array([7]))",0.17163293036234573,-0.7427031490777996,684.79999999999995,656.0,634.40000000000009,611.20000000000005,648.78073680130524,58.0,0.5111111111111111,0.4888888888888889,156.0,1547.88314607,0.03333333333333333,0.3888888888888889,25.209236759123193,3,35,14.741984099503068,20,60.79999999999999,67.644444444444446,64.622222222222234,0.94085281980742741,90
2,Speech,10,649.72727272727275,29.791978508838149,600.0,728.0,652.0,"ModeResult(mode=array([ 652.]), count=array([4]))",0.3064804405534627,-0.36442972739931134,673.60000000000002,659.20000000000005,640.0,620.0,650.40994065980487,41.0,0.5454545454545454,0.45454545454545453,128.0,908.202959831,0.022727272727272728,0.36363636363636365,24.262134341205385,1,16,13.869514760694896,10,59.545454545454547,69.454545454545453,59.54545454545454,1.0000000000000002,44
2,Arithmetic,1,642.04347826086962,56.809351848678219,544.0,760.0,658.0,"ModeResult(mode=array([ 548.]), count=array([6]))",-0.31476775228581905,-0.9305810926182234,687.20000000000005,668.0,644.0,572.79999999999995,644.55188343125849,89.0,0.6086956521739131,0.391304347826087,216.0,3262.76731964,0.03260869565217391,0.2717391304347826,19.955995546245198,3,25,12.868389933692924,7,57.0,61.913043478260867,66.434782608695656,0.85798429319371727,92
2,Arithmetic,2,673.59090909090912,38.961705080885736,552.0,760.0,678.0,"ModeResult(mode=array([ 676.]), count=array([7]))",-1.0935880028191856,1.8750993313954432,700.0,684.79999999999995,672.0,653.60000000000002,674.7167755975297,37.0,0.5795454545454546,0.42045454545454547,208.0,1535.46290491,0.022727272727272728,0.2727272727272727,20.454603506245267,2,24,12.800779471576382,17,70.545454545454533,66.27272727272728,63.590909090909086,1.1093638313080771,88
2,Arithmetic,3,659.50561797752812,35.422687960838218,584.0,712.0,668.0,"ModeResult(mode=array([ 664.]), count=array([6]))",-0.4441536811341198,-0.9406073413547746,692.0,676.0,660.0,622.39999999999998,660.45622638165219,68.0,0.6067415730337079,0.39325842696629215,128.0,1269.02553626,0.0,0.15730337078651685,16.147051518072047,0,14,10.385940910434707,7,68.719101123595507,68.674157303370791,69.438202247191015,0.98964401294498383,89
2,Arithmetic,4,640.304347826087,28.524489528044821,584.0,708.0,638.0,"ModeResult(mode=array([ 660.]), count=array([7]))",0.08527626463398623,-0.5755633637697115,664.0,650.40000000000009,632.0,616.0,640.93939210180088,40.0,0.4782608695652174,0.5217391304347826,124.0,822.587673196,0.0,0.11956521739130435,14.342743312012724,0,11,8.6661433646303436,13,59.173913043478272,61.478260869565219,60.869565217391305,0.97214285714285731,92
