participant,activity,window,mean,standar deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count
2,Speech,10,649.7272727,29.79197851,600,728,652,652,0.306480441,-0.364429727,673.6,659.2,640,620,650.4099407,41,0.545454545,0.454545455,128,908.2029598,0.022727273,0.363636364,24.26213434,1,16,13.86951476,10,59.54545455,69.45454545,59.54545455,1,44
2,Arithmetic,1,642.0434783,56.80935185,544,760,658,548,-0.314767752,-0.930581093,687.2,668,644,572.8,644.5518834,89,0.608695652,0.391304348,216,3262.76732,0.032608696,0.27173913,19.95599555,3,25,12.86838993,7,57,61.91304348,66.43478261,0.857984293,92
2,Arithmetic,2,673.5909091,38.96170508,552,760,678,676,-1.093588003,1.875099331,700,684.8,672,653.6,674.7167756,37,0.579545455,0.420454545,208,1535.462905,0.022727273,0.272727273,20.45460351,2,24,12.80077947,17,70.54545455,66.27272727,63.59090909,1.109363831,88
2,Arithmetic,3,659.505618,35.42268796,584,712,668,664,-0.444153681,-0.940607341,692,676,660,622.4,660.4562264,68,0.606741573,0.393258427,128,1269.025536,0,0.157303371,16.14705152,0,14,10.38594091,7,68.71910112,68.6741573,69.43820225,0.989644013,89
2,Arithmetic,4,640.3043478,28.52448953,584,708,638,660,0.085276265,-0.575563364,664,650.4,632,616,640.9393921,40,0.47826087,0.52173913,124,822.5876732,0,0.119565217,14.34274331,0,11,8.666143365,13,59.17391304,61.47826087,60.86956522,0.972142857,92
2,Arithmetic,5,641.0434783,31.8358265,560,724,648,656,-0.161104655,0.19929979,663.2,654.4,636,612,641.8335149,40,0.554347826,0.445652174,164,1024.65743,0.02173913,0.282608696,20.52926081,2,26,12.9172447,16,64.52173913,62.86956522,59.82608696,1.078488372,92
2,Arithmetic,6,625.1914894,37.16246007,548,724,622,656,0.298550628,-0.200071574,656,635.2,612.8,592,626.2950158,55,0.468085106,0.531914894,176,1395.898421,0.021276596,0.372340426,22.58175112,2,35,13.19918643,15,61.0212766,69.61702128,61.74468085,0.988283942,94
2,Arithmetic,7,631.311828,40.81586727,548,724,628,616,0.196283399,-0.536701152,670.4,636,616,596,632.6298753,60,0.483870968,0.516129032,176,1684.043011,0.010752688,0.376344086,22.61203989,1,35,13.09439338,18,58.15053763,57.84946237,62.70967742,0.927297668,93
2,Arithmetic,8,644.6593407,37.99023003,556,724,644,624,-0.209265883,-0.371188781,676,656,632,616,645.777766,48,0.494505495,0.505494505,168,1459.293773,0.054945055,0.428571429,26.8129322,5,39,15.26354489,22,67.64835165,60.65934066,66.54945055,1.01651255,91
2,Arithmetic,9,629.9354839,37.68625614,552,712,632,632,-0.097855595,-0.617112313,668,640,620,597.6,631.0617781,56,0.505376344,0.494623656,160,1435.691445,0.053763441,0.322580645,23.62386413,5,30,14.93445035,22,63.39784946,59.31182796,69.37634409,0.91382517,93
2,Arithmetic,10,619.7391304,39.97740383,552,712,618,632,0.293888998,-0.535569884,660,624,608,588,621.0271996,48,0.5,0.5,160,1633.708213,0.02173913,0.282608696,20.2649122,1,13,12.55002828,10,67.65217391,48.95652174,64.86956522,1.042895442,46
2,Ice Bucket,1,699.6190476,58.04306791,600,892,688,668,1.056831764,1.081823704,740,696,676.8,658.4,702.022656,65,0.392857143,0.607142857,292,3409.588067,0.095238095,0.357142857,30.0040158,8,30,20.32375495,15,62.80952381,71.0952381,61.52380952,1.020897833,84
2,Ice Bucket,2,742.8181818,52.67105153,668,892,732,732,0.835687984,0.132309796,781.6,752,724,696,744.6832151,70,0.431818182,0.568181818,224,2838.756871,0.181818182,0.590909091,39.54626375,8,26,23.61545176,12,71.90909091,80.36363636,72.90909091,0.986284289,44
2,rest,1,661.6629213,37.63722274,588,828,660,640,0.922654659,2.762278201,693.6,668,648,630.4,662.7325117,48,0.460674157,0.539325843,240,1432.657814,0.04494382,0.247191011,27.15946177,4,22,20.45792901,17,61.61797753,71.14606742,66.47191011,0.926977688,89
2,rest,2,676.7816092,36.84494547,576,752,680,712,-0.405869409,0.188932493,708,688,672,648,677.7838125,44,0.517241379,0.482758621,176,1373.335472,0,0.218390805,17.90933237,0,19,10.09848743,9,70.34482759,70.43678161,60.27586207,1.167048055,87
2,rest,3,676.183908,35.09675583,576,752,680,660,-0.404129526,0.592363553,703.2,688,664,652,677.0941292,44,0.505747126,0.494252874,176,1246.105319,0,0.206896552,16.85505928,0,18,10.41039959,12,71.81609195,71.5862069,67.2183908,1.068399453,87
2,rest,4,666.6363636,20.50176368,628,720,660,660,0.533030393,-0.169709788,680,668,660,649.6,666.9515452,28,0.420454545,0.579545455,92,425.153605,0,0.136363636,14.08022988,0,12,9.08322379,17,68.45454545,67.45454545,67.59090909,1.012777404,88
2,rest,5,684.1411765,35.58425063,620,800,680,660,0.755557608,1.095914713,712,692,672,655.2,685.0659736,48,0.458823529,0.541176471,180,1281.313165,0.023529412,0.235294118,20.05774795,2,20,13.95261874,11,63.43529412,73.17647059,63.90588235,0.99263623,85
2,rest,6,704.9,35.54701113,620,800,704,696,0.426610035,1.439054376,720.8,712,696,684,705.7957212,29,0.45,0.55,180,1295.989744,0.05,0.35,25.42274158,2,14,17.29682212,12,73.5,70.3,71.6,1.026536313,40
2,Stroop,1,710.2439024,27.69236972,660,800,708,692,0.629101687,0.513645931,728,716,697.6,688,710.7835594,36,0.475609756,0.524390244,140,776.3348389,0.024390244,0.329268293,22.46973273,2,27,13.61315877,20,72.29268293,70.68292683,70.34146341,1.027739251,82
